Year,Month,Week,Price
2021,1,1,104.07
2021,1,2,104.07
2021,1,3,104.07
2021,1,4,104.07
2021,2,1,205.25
2021,2,2,205.25
2021,2,3,205.25
2021,2,4,205.25
2021,3,1,126.15
2021,3,2,146.92
2021,3,3,168.46
2021,3,4,168.46
2021,4,1,126.15
2021,4,2,126.15
2021,4,3,126.15
2021,4,4,126.15
2021,5,1,146.43
2021,5,2,146.43
2021,5,3,146.43
2021,5,4,146.43
2021,6,1,146.43
2021,6,2,146.43
2021,6,3,146.15
2021,6,4,146.15
2021,7,1,146.43
2021,7,2,146.43
2021,7,3,146.43
2021,7,4,146.43
2021,8,1,146.43
2021,8,2,146.43
2021,8,3,146.15
2021,8,4,146.15
2021,9,1,149.4
2021,9,2,145
2021,9,3,142
2021,9,4,141.11
2021,10,1,140
2021,10,2,141
2021,10,3,142
2021,10,4,143
2021,11,1,138.68
2021,11,2,151.9
2021,11,3,150
2021,11,4,152
2021,12,1,153
2021,12,2,154
2021,12,3,155
2021,12,4,156
2022,12,1,330.56
2022,12,2,335
2022,12,3,340
2022,12,4,338.78
2022,11,1,320.45
2022,11,2,325
2022,11,3,328
2022,11,4,330
2022,10,1,289.5
2022,10,2,291.2
2022,10,3,294
2022,10,4,295.5
2022,9,1,280
2022,9,2,282.5
2022,9,3,285
2022,9,4,290
2022,8,1,236.5
2022,8,2,240
2022,8,3,245
2022,8,4,250
2022,7,1,241.33
2022,7,2,245
2022,7,3,248
2022,7,4,250
2022,6,1,285
2022,6,2,290
2022,6,3,295
2022,6,4,300
2022,5,1,207
2022,5,2,231.11
2022,5,3,240
2022,5,4,245
2022,4,1,276.75
2022,4,2,280
2022,4,3,285
2022,4,4,290
2022,3,1,304.55
2022,3,2,297.73
2022,3,3,296
2022,3,4,296
2022,2,1,251.11
2022,2,2,284.71
2022,2,3,290
2022,2,4,295
2022,1,1,245.24
2022,1,2,251.11
2022,1,3,245.24
2022,1,4,251.11
2023,12,1,220
2023,12,2,230
2023,12,3,240
2023,12,4,250
2023,10,1,200
2023,10,2,210
2023,10,3,220
2023,10,4,230
2023,11,1,240
2023,11,2,250
2023,11,3,260
2023,11,4,270
2023,8,1,200
2023,8,2,205
2023,8,3,210
2023,8,4,215
2023,9,1,220
2023,9,2,225
2023,9,3,230
2023,9,4,235
2023,6,1,180
2023,6,2,185
2023,6,3,190
2023,6,4,195
2023,7,1,200
2023,7,2,205
2023,7,3,210
2023,7,4,215
2023,4,1,363.84
2023,4,2,348.67
2023,4,3,350
2023,4,4,355
2023,5,1,360
2023,5,2,365
2023,5,3,370
2023,5,4,375
2023,2,1,320
2023,2,2,325
2023,2,3,330
2023,2,4,335
2023,3,1,340
2023,3,2,345
2023,3,3,350
2023,3,4,355
2023,1,1,317.78
2023,1,2,310.91
2023,1,3,310.91
2023,1,4,359.05
2024,6,1,204.29
2024,6,2,241.48
2024,5,1,230
2024,5,2,218.5
2024,5,3,200
2024,5,4,182.17
2024,4,1,345.79
2024,4,2,287.86
2024,4,3,292
2024,4,4,282.8
2024,3,1,324
2024,3,2,329.14
2024,3,3,322.69
2024,3,4,330.15
2024,2,1,266.2
2024,2,2,258.4
2024,2,3,260.85
2024,2,4,299.17
2024,1,1,281.41
2024,1,2,275.95
2024,1,3,279.57
2024,1,4,279.57
